ZIP Code,Type,Common Cities,County
11210,Standard,Brooklyn,Kings County
11211,Standard,Brooklyn,Kings County
11212,Standard,Brooklyn,Kings County
11213,Standard,Brooklyn,Kings County
11214,Standard,Brooklyn,Kings County
11215,Standard,Brooklyn,Kings County
11216,Standard,Brooklyn,Kings County
11217,Standard,Brooklyn,Kings County
11218,Standard,Brooklyn,Kings County
11219,Standard,Brooklyn,Kings County
11220,Standard,Brooklyn,Kings County
11221,Standard,Brooklyn,Kings County
11222,Standard,Brooklyn,Kings County
11223,Standard,Brooklyn,Kings County
11224,Standard,Brooklyn,Kings County
11225,Standard,Brooklyn,Kings County
11226,Standard,Brooklyn,Kings County
11228,Standard,Brooklyn,Kings County
11229,Standard,Brooklyn,Kings County
11230,Standard,Brooklyn,Kings County
11231,Standard,Brooklyn,Kings County
11232,Standard,Brooklyn,Kings County
11233,Standard,Brooklyn,Kings County
11234,Standard,Brooklyn,Kings County
11235,Standard,Brooklyn,Kings County
11236,Standard,Brooklyn,Kings County
11237,Standard,Brooklyn,Kings County
11238,Standard,Brooklyn,Kings County
11239,Standard,Brooklyn,Kings County
11240,Standard,Brooklyn,Kings County
11241,Standard,Brooklyn,Kings County
11242,Standard,Brooklyn,Kings County
11243,Standard,Brooklyn,Kings County
11244,Unique,Brooklyn,Kings County
11245,Unique,Brooklyn,Kings County
11247,PO Box,Brooklyn,Kings County
11248,Unique,Brooklyn,Kings County
11249,Standard,Brooklyn,Kings County
11251,Unique,Brooklyn,Kings County
11252,Standard,"Brooklyn, Fort Hamilton",Kings County
11254,Unique,Brooklyn,Kings County
11255,Unique,Brooklyn,Kings County
11256,Standard,Brooklyn,Kings County
11351,Standard,Flushing,Queens County
11352,PO Box,Flushing,Queens County
11354,Standard,Flushing,Queens County
11355,Standard,Flushing,Queens County
11356,Standard,"College Point, Flushing",Queens County
11357,Standard,"Whitestone, Beechhurst, Flushing, Malba",Queens County
11358,Standard,"Flushing, Auburndale",Queens County
11359,Standard,"Bayside, Flushing",Queens County
11360,Standard,"Bayside, Flushing",Queens County
11361,Standard,"Bayside, Flushing",Queens County
11362,Standard,"Little Neck, Douglaston, Flushing",Queens County
11363,Standard,"Little Neck, Douglaston, Flushing",Queens County
11364,Standard,"Oakland Gardens, Bayside, Bayside Hills, Flushing, Hollis...",Queens County
11365,Standard,"Fresh Meadows, Flushing",Queens County
11366,Standard,"Fresh Meadows, Flushing",Queens County
11367,Standard,"Flushing, Kew Garden Hl, Kew Gardens Hills",Queens County
11368,Standard,"Corona, Flushing",Queens County
11369,Standard,"East Elmhurst, Flushing",Queens County
11370,Standard,"East Elmhurst, Flushing",Queens County
11371,Standard,"Flushing, East Elmhurst, La Guardia Airport, La Gu...",Queens County
11372,Standard,"Jackson Heights, Flushing, Jackson Hts",Queens County
11373,Standard,"Elmhurst, Flushing",Queens County
11374,Standard,"Rego Park, Flushing",Queens County
11375,Standard,"Forest Hills, Flushing",Queens County
11377,Standard,"Woodside, Flushing",Queens County
11378,Standard,"Maspeth, Flushing",Queens County
11379,Standard,"Middle Village, Flushing, Middle Vlg",Queens County
11380,PO Box,"Elmhurst, Flushing",Queens County
11381,Unique,Flushing,Queens County
11385,Standard,"Ridgewood, Flushing, Glendale",Queens County
11386,PO Box,"Ridgewood, Flushing",Queens County
11390,Unique,Flushing,Queens County
11405,Unique,Jamaica,Queens County
11411,Standard,"Cambria Heights, Cambria Hts, Jamaica",Queens County
11412,Standard,"Saint Albans, Jamaica",Queens County
11413,Standard,"Springfield Gardens, Jamaica, Laurelton, Rosedale, Saint Alba...",Queens County
11414,Standard,"Howard Beach, Jamaica",Queens County
11415,Standard,"Kew Gardens, Jamaica",Queens County
11416,Standard,"Ozone Park, Jamaica",Queens County
11417,Standard,"Ozone Park, Jamaica",Queens County
11418,Standard,"Richmond Hill, Jamaica, Kew Gardens",Queens County
11419,Standard,"South Richmond Hill, Jamaica, S Richmond Hl",Queens County
11420,Standard,"South Ozone Park, Jamaica, S Ozone Park",Queens County
11421,Standard,"Woodhaven, Jamaica",Queens County
11422,Standard,"Rosedale, Jamaica",Queens County
11423,Standard,"Hollis, Jamaica",Queens County
11424,PO Box,"Jamaica, Kew Gardens",Queens County
11425,Unique,Jamaica,Kings County
11426,Standard,"Bellerose, Jamaica",Queens County
11427,Standard,"Queens Village, Bellerose Manor, Bellrs Manor, Jamaica, ...",Queens County
11428,Standard,"Queens Village, Bellerose Manor, Bellrs Manor, Jamaica, ...",Queens County
11429,Standard,"Queens Village, Jamaica, Queens Vlg",Queens County
11430,Standard,"Jamaica, Jf Kennedy Ap, Jfk Airport, John F Kenne...",Queens County
11431,PO Box,Jamaica,Queens County
11432,Standard,Jamaica,Queens County
11433,Standard,"Jamaica, Addisleigh Park, Addisleigh Pk",Queens County
11434,Standard,"Jamaica, Addisleigh Park, Addisleigh Pk, Rochdale...",Queens County
11435,Standard,"Jamaica, Briarwood",Queens County
11436,Standard,"Jamaica, S Ozone Park, South Ozone Park",Queens County
11437,Unique,Jamaica,Queens County
11439,Unique,Jamaica,Queens County
11451,Unique,Jamaica,Queens County
11499,Unique,Jamaica,Queens County
11501,Standard,Mineola,Nassau County
11507,Standard,Albertson,Nassau County
11509,Standard,"Atlantic Beach, Atlantic Bch",Nassau County
11510,Standard,"Baldwin, N Baldwin, North Baldwin",Nassau County
11514,Standard,Carle Place,Nassau County
11516,Standard,Cedarhurst,Nassau County
11518,Standard,East Rockaway,Nassau County
11520,Standard,Freeport,Nassau County
11530,Standard,"Garden City, Garden City S, Garden City South, Stewar...",Nassau County
11531,PO Box,Garden City,Nassau County
11535,Unique,Garden City,Nassau County
11536,Unique,"Garden City, Select And Save",Nassau County
11542,Standard,Glen Cove,Nassau County
11545,Standard,Glen Head,Nassau County
11547,PO Box,"Glenwood Landing, Glenwood Lndg",Nassau County
11548,Standard,Greenvale,Nassau County
11549,Unique,Hempstead,Nassau County
11550,Standard,"Hempstead, S Hempstead, South Hempstead",Nassau County
11551,PO Box,Hempstead,Nassau County
11552,Standard,"West Hempstead, W Hempstead",Nassau County
11553,Standard,Uniondale,Nassau County
11554,Standard,East Meadow,Nassau County
11555,Unique,Uniondale,Nassau County
11556,Standard,Uniondale,Nassau County
11557,Standard,Hewlett,Nassau County
11558,Standard,Island Park,Nassau County
11559,Standard,Lawrence,Nassau County
11560,Standard,Locust Valley,Nassau County
11561,Standard,"Long Beach, E Atlantc Bch, E Atlantic Beach, East At...",Nassau County
11563,Standard,Lynbrook,Nassau County
11565,Standard,Malverne,Nassau County
11566,Standard,"Merrick, N Merrick, North Merrick",Nassau County
11568,Standard,"Old Westbury, Westbury",Nassau County
11569,PO Box,Point Lookout,Nassau County
11570,Standard,"Rockville Centre, Rockville Ctr",Nassau County
11571,PO Box,"Rockville Centre, Rockville Ctr",Nassau County
11572,Standard,"Oceanside, Rockville Centre, Rockville Ctr",Nassau County
11575,Standard,Roosevelt,Nassau County
11576,Standard,Roslyn,Nassau County
11577,Standard,"Roslyn Heights, Roslyn Hts",Nassau County
11579,Standard,Sea Cliff,Nassau County
11580,Standard,Valley Stream,Nassau County
11581,Standard,Valley Stream,Nassau County
11582,PO Box,Valley Stream,Nassau County
11590,Standard,Westbury,Nassau County
11592,Unique,"Rockville Center, Rvc, National Profit, Rockville Ctr, Roc...",Nassau County
11594,Unique,"Westbury, 115 Firms",Nassau County
11595,Unique,"Westbury, Cheeselovers",Nassau County
11596,Standard,"Williston Park, E Williston, East Williston, Williston P...",Nassau County
11597,Unique,"Westbury, 115 Crm Firms",Nassau County
11598,Standard,Woodmere,Nassau County
11599,Standard,Garden City,Nassau County
11690,PO Box,"Far Rockaway, Edgemere, Wave Crest",Queens County
11691,Standard,Far Rockaway,Queens County
11692,Standard,"Arverne, Far Rockaway",Queens County
11693,Standard,"Far Rockaway, Broad Channel, Rockaway Bch, Rockaway Be...",Queens County
11694,Standard,"Rockaway Park, Belle Harbor, Far Rockaway, Neponsit",Queens County
11695,PO Box,"Far Rockaway, Fort Tilden",Queens County
11697,Standard,"Breezy Point, Far Rockaway, Rockaway Point, Rockaway P...",Queens County
11701,Standard,"Amityville, Amity Harbor",Suffolk County
11702,Standard,"Babylon, Captree Is, Captree Island, Gilgo Beach,...",Suffolk County
11703,Standard,"North Babylon, Babylon",Suffolk County
11704,Standard,"West Babylon, Babylon",Suffolk County
11705,Standard,Bayport,Suffolk County
11706,Standard,"Bay Shore, Fair Harbor, Kismet, Point O Woods, Salt...",Suffolk County
11707,PO Box,"West Babylon, Babylon",Suffolk County
11708,Standard,Amityville,Suffolk County
11709,Standard,Bayville,Nassau County
11710,Standard,"Bellmore, N Bellmore, North Bellmore",Nassau County
11713,Standard,Bellport,Suffolk County
11714,Standard,Bethpage,Nassau County
11715,Standard,Blue Point,Suffolk County
11716,Standard,Bohemia,Suffolk County
11717,Standard,"Brentwood, Edgewood, W Brentwood, West Brentwood",Suffolk County
11718,Standard,Brightwaters,Suffolk County
11719,Standard,Brookhaven,Suffolk County
11720,Standard,"Centereach, S Setauket, South Setauket",Suffolk County
11721,Standard,Centerport,Suffolk County
11722,Standard,Central Islip,Suffolk County
11724,Standard,"Cold Spring Harbor, Cold Spg Hbr",Suffolk County
11725,Standard,Commack,Suffolk County
11726,Standard,Copiague,Suffolk County
11727,Standard,Coram,Suffolk County
11729,Standard,Deer Park,Suffolk County
11730,Standard,East Islip,Suffolk County
11731,Standard,"East Northport, E Northport, Elwood",Suffolk County
11732,Standard,East Norwich,Nassau County
11733,Standard,"East Setauket, Setauket",Suffolk County
11735,Standard,"Farmingdale, S Farmingdale, South Farmingdale",Nassau County
11736,Unique,Farmingdale,Nassau County
11737,Standard,Farmingdale,Nassau County
11738,Standard,Farmingville,Suffolk County
11739,PO Box,Great River,Suffolk County
11740,Standard,Greenlawn,Suffolk County
11741,Standard,Holbrook,Suffolk County
11742,Standard,Holtsville,Suffolk County
11743,Standard,"Huntington, Halesite, Lloyd Harbor",Suffolk County
11746,Standard,"Huntington Station, Dix Hills, Huntingtn Sta, S Huntington, ...",Suffolk County
11747,Standard,"Melville, Huntingtn Sta, Huntington Station",Suffolk County
11749,Standard,"Islandia, Central Islip, Hauppauge, Ronkonkoma",Suffolk County
11750,Unique,"Huntington Station, Huntingtn Sta, Melville",Suffolk County
11751,Standard,Islip,Suffolk County
11752,Standard,Islip Terrace,Suffolk County
11753,Standard,Jericho,Nassau County
11754,Standard,Kings Park,Suffolk County
11755,Standard,Lake Grove,Suffolk County
11756,Standard,Levittown,Nassau County
11757,Standard,Lindenhurst,Suffolk County
11758,Standard,"Massapequa, N Massapequa, North Massapequa",Nassau County
11760,PO Box,Melville,Suffolk County
11762,Standard,"Massapequa Park, Massapequa Pk",Nassau County
11763,Standard,Medford,Suffolk County
11764,Standard,Miller Place,Suffolk County
11765,Standard,Mill Neck,Nassau County
11766,Standard,Mount Sinai,Suffolk County
11767,Standard,Nesconset,Suffolk County
11768,Standard,"Northport, Fort Salonga",Suffolk County
11769,Standard,Oakdale,Suffolk County
11770,PO Box,Ocean Beach,Suffolk County
11771,Standard,Oyster Bay,Nassau County
